id,title,ingredients,steps,time_min,tags
1,Паста з томатним соусом,"[{""name"": ""курка"", ""qty"": 300, ""unit"": ""г"", ""optional"": false}, {""name"": ""морква"", ""qty"": 1, ""unit"": ""шт"", ""optional"": false}, {""name"": ""цибуля"", ""qty"": 1, ""unit"": ""шт"", ""optional"": false}, {""name"": ""сіль"", ""qty"": 1, ""unit"": ""ч. л."", ""optional"": false}]","[""Нарізати овочі"", ""Закип'ятити воду"", ""Додати курку та варити 30 хв"", ""Додати овочі та варити ще 10 хв""]",90,"[""суп"", ""гаряча страва"", ""обід""]"
2,Салат з буряком та фетою,"[{""name"": ""буряк"", ""qty"": 200, ""unit"": ""г"", ""optional"": false}, {""name"": ""фета"", ""qty"": 100, ""unit"": ""г"", ""optional"": false}, {""name"": ""оливкова олія"", ""qty"": 2, ""unit"": ""ст. л."", ""optional"": false}]","[""Відварити буряк"", ""Нарізати фету"", ""Змішати все з олією""]",12,"[""салат"", ""холодна страва""]"
3,Плов з куркою,"[{""name"": ""риба"", ""qty"": 500, ""unit"": ""г"", ""optional"": false}, {""name"": ""цукіні"", ""qty"": 1, ""unit"": ""шт"", ""optional"": false}, {""name"": ""перець болгарський"", ""qty"": 1, ""unit"": ""шт"", ""optional"": false}]","[""Порізати рибу"", ""Запекти разом з овочами при 180°C протягом 25 хв""]",51,"[""гаряча страва"", ""запечене""]"
4,Печена риба з овочами,"[{""name"": ""риба"", ""qty"": 500, ""unit"": ""г"", ""optional"": false}, {""name"": ""цукіні"", ""qty"": 1, ""unit"": ""шт"", ""optional"": false}, {""name"": ""перець болгарський"", ""qty"": 1, ""unit"": ""шт"", ""optional"": false}]","[""Порізати рибу"", ""Запекти разом з овочами при 180°C протягом 25 хв""]",26,"[""гаряча страва"", ""запечене""]"
5,Салат з буряком та фетою,"[{""name"": ""буряк"", ""qty"": 200, ""unit"": ""г"", ""optional"": false}, {""name"": ""фета"", ""qty"": 100, ""unit"": ""г"", ""optional"": false}, {""name"": ""оливкова олія"", ""qty"": 2, ""unit"": ""ст. л."", ""optional"": false}]","[""Відварити буряк"", ""Нарізати фету"", ""Змішати все з олією""]",76,"[""салат"", ""холодна страва""]"
6,Паста з томатним соусом,"[{""name"": ""курка"", ""qty"": 300, ""unit"": ""г"", ""optional"": false}, {""name"": ""морква"", ""qty"": 1, ""unit"": ""шт"", ""optional"": false}, {""name"": ""цибуля"", ""qty"": 1, ""unit"": ""шт"", ""optional"": false}, {""name"": ""сіль"", ""qty"": 1, ""unit"": ""ч. л."", ""optional"": false}]","[""Нарізати овочі"", ""Закип'ятити воду"", ""Додати курку та варити 30 хв"", ""Додати овочі та варити ще 10 хв""]",86,"[""суп"", ""гаряча страва"", ""обід""]"
7,Вареники з картоплею,"[{""name"": ""борошно"", ""qty"": 300, ""unit"": ""г"", ""optional"": false}, {""name"": ""картопля"", ""qty"": 400, ""unit"": ""г"", ""optional"": false}, {""name"": ""сіль"", ""qty"": 1, ""unit"": ""ч. л."", ""optional"": false}]","[""Замісити тісто"", ""Приготувати начинку з картоплі"", ""Зліпити вареники"", ""Відварити 7 хв""]",52,"[""гаряча страва"", ""борошняне""]"
8,Олів'є класичний,"[{""name"": ""свинина"", ""qty"": 400, ""unit"": ""г"", ""optional"": false}, {""name"": ""буряк"", ""qty"": 300, ""unit"": ""г"", ""optional"": false}, {""name"": ""капуста"", ""qty"": 200, ""unit"": ""г"", ""optional"": false}, {""name"": ""томатна паста"", ""qty"": 2, ""unit"": ""ст. л."", ""optional"": false}]","[""Відварити м'ясо"", ""Додати овочі та томатну пасту"", ""Варити 40 хв""]",36,"[""суп"", ""українська кухня""]"
9,Сирники з сметаною,"[{""name"": ""буряк"", ""qty"": 200, ""unit"": ""г"", ""optional"": false}, {""name"": ""фета"", ""qty"": 100, ""unit"": ""г"", ""optional"": false}, {""name"": ""оливкова олія"", ""qty"": 2, ""unit"": ""ст. л."", ""optional"": false}]","[""Відварити буряк"", ""Нарізати фету"", ""Змішати все з олією""]",49,"[""салат"", ""холодна страва""]"
10,Печена риба з овочами,"[{""name"": ""риба"", ""qty"": 500, ""unit"": ""г"", ""optional"": false}, {""name"": ""цукіні"", ""qty"": 1, ""unit"": ""шт"", ""optional"": false}, {""name"": ""перець болгарський"", ""qty"": 1, ""unit"": ""шт"", ""optional"": false}]","[""Порізати рибу"", ""Запекти разом з овочами при 180°C протягом 25 хв""]",74,"[""гаряча страва"", ""запечене""]"
